group,mean_difference,ci_low,ci_high,n,test_method,p_value,status
Overall,45.44285714285714,-2.7192518470285023,93.60496613274279,70,wilcoxon_signed_rank_normal,0.2034321229869824,"prespecified confirmatory, dependence-limited"
Test-ID,-2.673333333333333,-60.16792864669377,54.8212619800271,30,paired_t_test,0.9249000299082067,prespecified descriptive
Test-OOD,81.53,9.495071895079775,153.56492810492023,40,wilcoxon_signed_rank_normal,0.09317891169951147,prespecified descriptive
DeepSeek,107.73142857142858,23.090540910565622,192.37231623229155,35,wilcoxon_signed_rank_normal,0.023181134868644475,unadjusted descriptive
MiniMax,-16.845714285714294,-53.912721818749894,20.221293247321306,35,paired_t_test,0.37932115577942493,unadjusted descriptive
ID: demand-jump,-67.38,-153.8348236653664,19.07482366536641,10,paired_t_test,0.11174566139832619,descriptive subgroup
ID: gradual-demand,50.620000000000005,-77.59974205783445,178.83974205783446,10,paired_t_test,0.3950986479049332,descriptive subgroup
ID: supply-delay,8.739999999999997,-96.67299797735762,114.15299797735761,10,paired_t_test,0.8553919543547741,descriptive subgroup
OOD: early-combined,151.23999999999998,-107.60156304570253,410.0815630457025,10,paired_t_test,0.2188839628218231,descriptive subgroup
OOD: false-alarm,55.26000000000002,-116.54824805508727,227.0682480550873,10,wilcoxon_signed_rank_exact,0.7421875,descriptive subgroup
OOD: periodic,-12.940000000000014,-49.866363083499046,23.986363083499022,10,wilcoxon_signed_rank_exact,0.640625,descriptive subgroup
OOD: poisson-jump,132.56000000000003,22.079638565080757,243.0403614349193,10,paired_t_test,0.023838368684081068,descriptive subgroup
